SessionName,StartTime,EndTime,Location_Lookup,Staff Lead,Type_Lookup,Roomset,A/V,F&B Needs,"PostTo
Web",Step and Repeat?,22x28 Sign?,American Flag,Soft Seating,Soft Seating Needs,Badge Scanning,Internal Notes
Immigration Reform Task Force Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""105 AB, 100 Level (Pennsylvania Convention Center)""",Julia Cortina,"Meeting,Committee","CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo Board of Directors Forum,7/12/2025 2:30pm,7/12/2025 4:30pm,"""Ballroom B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,"Meeting,Board of Directors",CL180 - Chevron per diagram provided -30'x8' stages (6) risers - stairs on each side of stage - (2) Head tables of (6ppl) - each placed to the left and right of a center podium - (8) 8' resource tables placed in the back of the room. NEED BARSTOOLS FOR FIRESIDE CHAT,Podium mic - (2) LCD packages - (8) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Regular Coffee 2
Decaf Coffee 2  
Tea 2  
Farmers Crudite 3
Miniature Philly Soft Pretzels, Spicy Mustard (dozen) 4
Assorted Prepackaged Snacks(dozen) 6 
Assorted Cookies & Brownies (dozen) 6
Lemon Bars (dozen) 3  
Seasonal Whole Fruit (dozen) 3 
Bottled Water (based on consumption) 60 
Mineral Water (based on consumption) 20
Assorted Soft Drink (based on consumption) include Diet Coke, Diet Dr. Pepper, Coke Zero 40 ",checked,checked,,,,,,
Veterans & Military Services Committee Meeting,7/12/2025 2:30pm,7/12/2025 4:30pm,"""111 AB, 100 Level (Pennsylvania Convention Center)""",Kevin Moore,"Meeting,Committee",CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
NCCAE Educational Workshop,7/12/2025 2:30pm,7/12/2025 4:30pm,"""103 AB, 100 Level (Pennsylvania Convention Center)""",,,CL264 TH 89 (353 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Reception for Criminal Justice Leaders and Mental Health Advocates,7/12/2025 4:30pm,7/12/2025 6:00pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,Affiliate,RDS 60 - Add scattered cocktail tables - Podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head table of (4ppl) - (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Minnesota Delegation Caucus,7/12/2025 4:30pm,7/12/2025 6:30pm,"""113 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,CL264 TH 89 (353 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Mana NACo Planning Meeting,7/12/2025 4:30pm,7/12/2025 6:30pm,"""111 AB, 100 Level (Pennsylvania Convention Center)""",Ashleigh Holand,,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,,,checked,,,,,
NACo 2nd Vice President Candidates Forum,7/12/2025 4:45pm,7/12/2025 5:30pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Marc Chavez,Plenary / Conference-Wide Event,CL224 TH 280 (504 total) (114 reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room.  (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo Nominating Committee Meeting ,7/12/2025 5:00pm,7/12/2025 5:45pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,"Meeting,Committee","Existing Board Table
KEY Needed",,,,,,,,,,Moved from Sunday morning to Saturday evening. 
Police Jury Association of Louisiana Hospitality Reception ,7/12/2025 5:00pm,7/12/2025 7:00pm,"""Salon D | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Ohio Caucus Reception,7/12/2025 5:00pm,7/12/2025 7:00pm,"""308, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Texas Reception and Caucus,7/12/2025 5:30pm,7/12/2025 7:00pm,"""Salon I | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Kansas Caucus and Reception,7/12/2025 5:30pm,7/12/2025 8:00pm,"""Room 307, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Iowa Caucus Meeting,7/12/2025 5:30pm,7/12/2025 8:00pm,"""203 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,U shape for 30 leave additional chairs from previous mtg- podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Georgia Reception,7/12/2025 5:30pm,7/12/2025 7:00pm,"""Salon K | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
"Joint ID, MT, MD, and WY Reception",7/12/2025 5:30pm,7/12/2025 7:30pm,"""Salon J | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Florida Delegates Reception,7/12/2025 5:30pm,7/12/2025 6:30pm,"""The Notary Hotel, Grand Ballroom 3""",,,,,,checked,,,,,,,
National Association of County Administrators (NACA) Reception ,7/12/2025 6:00pm,7/12/2025 7:30pm,Restaurant 13 (Philadelphia Marriott Downtown),,Affiliate,Affiliate,,,checked,,,,,,,
Arts and Culture Commission Reception,7/12/2025 6:30pm,7/12/2025 7:30pm,Offsite,"Patrick Spence,Christina Loukos",Reception,,,"Menu
Passed apps
Steak & Eggs
Tuna Tartare Spring Rolls
Blackened Mahi Tacos Gf
Crispy Chicken Slider
Artisan Vegetable Sushi Gf+V
Brie & Quince Tart
Persian Cucumber Cups Gf+V
Thai Lettuce Bite Gf+V
Later portion - DIY Burrata Hawkers Trays
Drink package - open bar
Passed wine
Soft drinks, beer/wine, no liquor
last call 15 minutes before end, use as opportunity to start ushering people out for the photo op",checked,,,,,,,"Sue Cunnane contact at PMA cell # is (215) 873-3325

Entry
By the west entrance, thru the lobby. Museum staff will direct them (human signage provided) to the stairs or elevator. Cloister is on 3rd floor
Disco elevator!
Timing
Can come as early as 6pm - contact Sue Cunanne cell 215-873-3325
Logistics
Can bring easels and posters
TBD onbringing our own portable mic/speaker
Sue looking into AV, TBD
Sue will share tablecloth colors, photo of possible photo op
"
Midsize Caucus Reception,7/12/2025 7:00pm,7/13/2025 9:00pm,Offsite,"Brett Mattson,Leah Rivera",Reception,,,,checked,,,,,,,
LUCC and RAC Joint Reception,7/12/2025 7:00pm,7/13/2025 9:00pm,Offsite,"Blaire Bryant,Owen Hart",Reception,naco ones will be offsite,,,checked,,,,,,,Midsize reception - does this need to happen?
Gore Hospitality Suite,7/12/2025 9:00pm,7/12/2025 11:00pm,"""Liberty Lanes, Marriott""",,,,,,,,,,,,,
END OF SATURDAY,,,,,,,,,,,,,,,,
NACo Annual Staff Breakfast,7/13/2025 6:00am,7/13/2025 8:30am,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
Worship Service,7/13/2025 7:00am,7/13/2025 8:00am,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Marc Chavez,,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo Annual Staff Office,7/13/2025 7:00am,7/13/2025 5:00pm,"""304, 300 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(4) 8' tables along wall, Power strip at (2) tables, (3) chairs at two (8)' tables only.  Add in center of room either (2) rounds with chairs or one conference table - whichever will fit most appropriately.
KEY Needed (15 qty)
MASTER KEY (8 qty)",POWER DROP: (4) and (4) power strips and (1) power drop for printer. ,,,,,,,,,
NACo Center Operations,7/13/2025 7:00am,7/13/2025 5:00pm,"""303A, 300 Level (Pennsylvania Convention Center)""","Kevin Carr,Phyllis Williams",,"(1) 8' tables along wall, (2) chairs. 
KEY Needed (3 qty)","POWER DROP: (3) drops one each for a commercial grade printers/copier and (1) power drop at 8' table and (1) power strip.

",,,,,,,,,
Marx AV Storage #1,7/13/2025 7:00am,7/13/2025 7:00pm,"""100 A, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",POWER DROP: (1) at 8' table for Marx Team,,,,,,,,,
NACo Signage Storage,7/13/2025 7:00am,7/13/2025 7:00pm,"""101 , 100 Level (Pennsylvania Convention Center)""","Patrick Dougherty,Leah Rivera",,"2) 8' tables along wall, (3) chairs at two (8)' tables.  
Drop an extra 25 easels in this room.
KEY Needed (3 qty)",,,,,,,,,,
Web Cast/Film Room,7/13/2025 7:00am,7/13/2025 5:00pm,"""306, 300 Level (Pennsylvania Convention Center)""","Charlie Ban,Myava Mitchell",,"(2) 8' tables along wall with (2) chairs each.
KEY Needed (6 qty)
",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
NACo Executive Back Up Office,7/13/2025 7:00am,7/13/2025 5:00pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,,"Existing Board Table
KEY Needed",,,,,,,,,,
NACo Corporate Partners Meeting Room,7/13/2025 7:00am,7/13/2025 5:00pm,"""104 AB, 100 Level (Pennsylvania Convention Center)""",Cara Hackett,,"Conference (12ppl) with (1) 8' table w/2 chairs along wall and (2) rounds with (6) chairs. (1) Easel
KEY Needed (3qty)",POWER DROP: (1) at 8' table and (1) power strip,,,,,,,,,
EDGE Annual Meeting Room,7/13/2025 7:00am,7/13/2025 5:00pm,"""305, 300 Level (Pennsylvania Convention Center)""",Beth Roberts,,"Conference (6ppl) with (1) 8' table w/2 chairs along wall. 
KEY Needed (5qty)",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
CPI Meeting Room,7/13/2025 7:00am,7/13/2025 5:00pm,"""Room 309, Level 3 (Philadelphia Marriott Downtown)""",Christina Loukos,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Government Affairs Meeting Room,7/13/2025 7:00am,7/13/2025 5:00pm,"""Room 310, Level 3 (Philadelphia Marriott Downtown)""",Eryn Hurley,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Corcoran Expositions Booth,7/13/2025 7:00am,7/13/2025 12:00pm,"""Hall A, 200 Level (Pennsylvania Convention Center)""","Darrin Crittington,Cara Hackett",,,"Two (2) Monitors with compatible cords to MacBook's
One (1) Large monitor on a stand and with a laptop to run the floor plan on a loop. ",,,,,,,,,
NACo Executive Office,7/13/2025 7:00am,7/13/2025 5:00pm,"""303B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,,"(2) 8' tables along wall, (3) chairs at two (8)' tables only.  Add in center of room (2) rounds with 8 chairs each 
KEY Needed (5qty)","Color Printer
POWER DROP: (2) and (2) power strips, one on each 8' table, (1) drops and (1) power strips round table, (1) power drop for printer",,,,,,,,,
Marx AV Storage #2,7/13/2025 7:00am,7/13/2025 7:00pm,"""100 B, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",,,,,,,,,,
NACo Registration Open,7/13/2025 7:30am,7/13/2025 5:00pm,"""Grand Hall, 200 Level (Pennsylvania Convention Center)""",Michelle Stuckey,,(10) 8' tables with (1) chair each - to be set behind Registration in storage area.,,,checked,,,,,,,
Rural Energy Communities Information and Networking Breakfast,7/13/2025 8:00am,7/13/2025 9:00am,"""105 AB, 100 Level (Pennsylvania Convention Center)""",Blake Gardiner,Meeting,"RDS 100 TH 32 (132 total) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Dept Code: G10
 Project Code: FDN850 
Daybreak - Continental Breakfast 100 qty",checked,,,,,,,
PN3 in All Policies Focus Group,7/13/2025 8:00am,7/13/2025 9:00am,"""106 AB, 100 Level (Pennsylvania Convention Center)""",Kat Patterson,Meeting,Hollow Square for 20ppl- BKFST buffet inside room,,"Dept Code: 20
Acct Code: FDN899C
Project Code: 5305 
The Traditional Breakfast Buffet 20 qty
Individual Assorted Yogurts with Chocolate Espresso Bean Granola 15 qty",,,checked,,,,,
Comcast Office #1,7/13/2025 8:00am,7/13/2025 5:00pm,"""300, 300 Level (Pennsylvania Convention Center)""",,,"(3) 8' tables and (6) chairs. Tables to have black velour and skirting. 
MASTER KEY Needed (3 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Comcast Office #2,7/13/2025 8:00am,7/13/2025 5:00pm,"""301, 300 Level (Pennsylvania Convention Center)""",,,"two 6-foot tables (6’ x 18”) with 6 chairs 
	one 60” round table with 8 chairs
	1 Cocktail Adjustable table (for make-up)
	1 barstool height char (for make-up) FREEMAN ORDER
MASTER KEY Needed (6 qty) for 300,301,30",POWER DROP: (1) drops - (1) power strip on 8' table ,,,,,,,,,
Conference Team Member Meeting Room,7/13/2025 8:00am,7/13/2025 5:00pm,"""Conference Suite II, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,"Existing
KEY Needed",,,,,,,,,,
NACo Staff Quiet Office,7/13/2025 8:00am,7/13/2025 5:00pm,"""Room 305, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,Conference for 12ppl,(1) Power Strip,,,,,,,,,
Affiliate Exhibit Tables,7/13/2025 8:00am,7/13/2025 5:00pm,"""Foyer outside of Exhibit Hall A, 200 Level (Pennsylvania Convention Center)""",Darrin Crittington,Affiliate,"(10) qty 8' tables - (2) chairs each per Daniels diagram.
ADD: (1) 8' table and (2) chairs set in front of the columns to the left and right of the circular railing.
",None,,,,,,,,,
NACo Store,7/13/2025 8:00am,7/13/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,(10) 8' tables with (1) chair each in storage area,POWER DROP: (2) smart counters (1 each) and (1) power drop in storage area behind Store. ,,checked,,,,,,,
NACo EDGE Solutions Center,7/13/2025 8:00am,7/13/2025 5:00pm,"""Bridge over Arch St. - WEST, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,,(12) 8' tables with (2) chairs each for exhibitors. (2) 8' tables for storage area. ADD: (4) cocktails with (2) stools.,"POWER DROP: (1) EDGE booth, (1) TV monitor, (2) pieces of charging couches (1 each) and (1) PPP booth ",,checked,,,,,,,
NACo Resource Center,7/13/2025 8:00am,7/13/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,(2) 8' tables with (1) chair each in storage area,"POWER DROP: (2) drops for (2) TV monitors, (2) drops at tall table and (4) for four charging chairs.",,checked,,,,,,,
Comcast Office #3,7/13/2025 8:00am,7/13/2025 5:00pm,"""302, 300 Level (Pennsylvania Convention Center)""",,,"Conference for (6) ppl with chairs. (1) 8' table along one wall with (3) chairs. 
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Comcast Meal Room,7/13/2025 8:00am,7/13/2025 5:00pm,"""102 AB, 100 Level (Pennsylvania Convention Center)""",,,"(4-10) round tables, each with 10 chairs.  Based on F&B order to Jessica.",,,,,,,,,,
NACo Board of Directors Meeting,7/13/2025 9:00am,7/13/2025 12:00pm,"""Ballroom B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,"Meeting,Board of Directors",CL180 - Chevron per diagram provided -30'x8' stages (6) risers - stairs on each side of stage - (2) Head tables of (6ppl) - each placed to the left and right of a center podium - (8) 8' resource tables placed in the back of the room. NEED BARSTOOLS FOR FIRESIDE CHAT,Podium mic - (2) LCD packages - (8) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Dept Code: E03
Acct Code: 5305
Breakfast Meats and Eggs 125 qty
Individual Greek Yogurt 24 qty
Steel Cut Oats 20 qty
Assorted Soft Drink (based on consumption) include Diet Coke, Diet Dr. Pepper, Coke Zero 40 qty
Bottled Water (Per Bottle) based on consumption 60 qty
Mineral Water (Based on Consumption) 20 qty ",checked,,,,,,,
"Coffee, Pastries and Service Project with Exhibitors",7/13/2025 9:00am,7/13/2025 9:30am,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
North Carolina Association of Black County Officials Business Meeting,7/13/2025 9:00am,7/13/2025 10:00am,"""203 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,NEW MTG ADDED: Rounds for 50 leave additional chairs from previous mtg- podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
County Forum on Health and Wellbeing,7/13/2025 9:30am,7/13/2025 3:00pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""","Elise Simonsen,Shalini Wickramatilake",Workshop,"RDS 250 TH in back -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium -(2) 8' resource tables along back/side walls of room. (1) easel
Artist will be in the room at Noon.  For the visual artist, we need a chair and a high top or a small table for supplies. Can be placed in the break at 11:30 or just there all day is fine. Need to set him up.  For his space for the board, he will need ""No less than 8 feet of wall space with no textures, ridges or borders and permission to hang paper. OR 10 x 4 foot workspace where speakers can be seen participants can see it and heard."" I'd like him near the stage so live. ",Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Lunch will be setup at 11:30 am - 11:45am INSIDE ROOM. 
Lunch buffet open inside the room from 12 - 1pm 

Deli & Salad Buffet
coffee, hot tea & water included 250 qty",checked,,,,,,,
County Forum on Revenues and Fiscal Health,7/13/2025 9:30am,7/13/2025 3:00pm,"""108 AB, 100 Level (Pennsylvania Convention Center)""","Paige Mellerio,Teryn Zmuda,Jonathan Harris",Workshop,RDS 260 TH 38 -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Lunch will be setup at 11:15am for 11:30am - 12:45pm lunch.  Lunch buffet outside room.
Deli Lunch Buffet Lunch 
Coffee and Tea served",checked,,,,,,,
County Forum on Public Lands,7/13/2025 9:30am,7/13/2025 3:00pm,"""201 ABC, 200 Level (Pennsylvania Convention Center)""","Zeke Lee,Gregory Nelson",Workshop,RDS 300 TH?? -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - Riser for camera and operator (6) 8' resource tables along back/side walls of room. (1) easel,"ALL DAY RECORDING 
Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio patch to record segments of the program. 
POWER DROP: (1) drop to riser for camera operator","Lunch will be setup INSIDE ROOM at 11:30 am - 11:45am. 
(Keep attendees away, if possible, during setup)
Lunch buffet open inside the room from 12 - 1pm 

Deli & Salad Buffet
coffee, hot tea & water included 300 qty",checked,,,,,,checked,
County Forum on Economies and Workers,7/13/2025 9:30am,7/13/2025 3:00pm,"""113 AB, 100 Level (Pennsylvania Convention Center)""","Abby Davidson,Alseta Gholston",Workshop,"RDS 260  -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel
Fireside chat set-up on other side of podium: 2 comfy chairs with small table between (for notes, water), ",Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Lunch will be setup at 11:15am for 11:30am - 12:45pm lunch.  Lunch buffet outside room.
Deli Lunch Buffet Lunch 
Coffee and Tea served",checked,,,,checked,(2) comfy Chairs,,"Deli & Salad Buffet
 coffee, hot tea & water included 250 qty"
90 Years in 90 Minutes – Share Your County Story! ,7/13/2025 9:30am,7/13/2025 11:00am,"""Hall A, 200 Level (Pennsylvania Convention Center)""",Cara Hackett,,,Mic for announcements thru PCC AV provider. Location for mic TBD.,,checked,,,,,,,
AI in Motion,7/13/2025 10:00am,7/13/2025 11:30am,"""109 AB, 100 Level (Pennsylvania Convention Center)""","Rita Reynolds,Seamus Dowdall",Workshop,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,Check if they really need rounds
Communications Strategies for County Leaders,7/13/2025 10:00am,7/13/2025 11:30am,"""111 AB, 100 Level (Pennsylvania Convention Center)""","Anuja Rathi,Nicole Weissman",Workshop,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
County Innovations in Youth Justice,7/13/2025 10:00am,7/13/2025 11:30am,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Ronin Davis,Workshop,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo Annual Staff Lunch,7/13/2025 11:30am,7/13/2025 2:00pm,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
Lunch on Own,7/13/2025 12:00pm,7/13/2025 1:30pm,,Leah Rivera,,,,,checked,,,,,,,
National Organization of Black County Officials (NOBCO) / National Association of Black County Officials (NABCO) Annual Meeting ,7/13/2025 12:00pm,7/13/2025 1:30pm,"""Salon AB | Liberty Ballroom, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Nebraska Caucus,7/13/2025 12:00pm,7/13/2025 1:30pm,"""308, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Texas Urban County Roundtable and Lunch,7/13/2025 12:00pm,7/13/2025 1:30pm,"""Salon D | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Utah Caucus Meeting,7/13/2025 12:00pm,7/13/2025 12:30pm,"""Salon I | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
National Association of Hispanic County Officials (NAHCO) Luncheon,7/13/2025 12:00pm,7/13/2025 1:30pm,"""Salon AB | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
NACIO Annual Meeting and Awards of Excellence Announcement,7/13/2025 12:00pm,7/13/2025 1:30pm,"""Room 307, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
National Association of County Intergovernmental Officials Business Meeting,7/13/2025 12:00pm,7/13/2025 1:30pm,"""203 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,Rounds for 50 leave additional chairs from previous mtg- podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Buffet Deli Lunch for 40 per Eryn. Affiliate
",checked,,,,,,,
NDCO Annual Conference Luncheon,7/13/2025 12:00pm,7/13/2025 1:30pm,"""103 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,RDS 210 TH 32 (242 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,"Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
",,checked,,,,,,,
National Association of Native County Leaders and Allies (NANCLA) Meeting,7/13/2025 12:00pm,7/13/2025 1:30pm,"""Salon C | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
NCCAE Business Luncheon,7/13/2025 12:30pm,7/13/2025 1:30pm,"""106 AB, 100 Level (Pennsylvania Convention Center)""",,,BQT Rounds for 50ppl,(2) handheld mics,,checked,,,,,,,
Confident Change Leadership in a Complex World,7/13/2025 1:30pm,7/13/2025 3:00pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Anuja Rathi,Workshop,Rounds for 100 Th 24 -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Inferno & Intrusion,7/13/2025 1:30pm,7/13/2025 3:00pm,"""105 AB, 100 Level (Pennsylvania Convention Center)""","Rita Reynolds,Seamus Dowdall",Workshop,"CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
